date,msft,brk-b,z-spark,x-qoz,z-fnz,temp
01 10 1985,66.25,43.75,53.75,43.75,61.25,50.7
01 11 1985,68.75,47.5,55,60,68.75,44.7
01 12 1985,60,48.75,47.5,43.75,62.5,44.9
01 01 1986,80,55,62.5,61.25,81.25,46.0
01 02 1986,80,58.75,63.75,70,77.5,32.6
01 03 1986,77.5,50,52.5,65,83.75,45.4
01 04 1986,71.25,42.5,53.75,66.25,72.5,47.4
01 05 1986,80,43.75,56.25,66.25,77.5,34.8
01 06 1986,61.25,42.5,48.75,53.75,66.25,36.8
01 07 1986,56.25,37.5,40,53.75,61.25,35.1
01 08 1986,56.25,46.25,45,52.5,72.5,52.8
01 09 1986,48.75,45,36.25,46.25,57.5,38.1
01 10 1986,78.75,61.25,67.5,93.75,92.5,50.4
01 11 1986,60,43.75,58.75,58.75,71.25,34.7
01 12 1986,72.5,57.5,57.5,53.75,60,54.6
01 01 1987,85,51.25,65,72.5,82.5,49.1
01 02 1987,102.5,63.75,77.5,85,92.5,37.0
01 03 1987,105,73.75,85,91.25,97.5,53.3
01 04 1987,123.75,82.5,93.75,98.75,107.5,50.7
01 05 1987,106.25,66.25,82.5,101.25,115,35.5
01 06 1987,55,40,35,42.5,56.25,42.4
01 07 1987,81.25,68.75,57.5,66.25,78.75,37.7
01 08 1987,71.25,61.25,50,51.25,55,53.4
01 09 1987,52.5,48.75,30,42.5,40,52.6
01 10 1987,53.75,55,31.25,51.25,43.75,56.7
01 11 1987,95,73.75,63.75,73.75,80,46.1
01 12 1987,56.25,47.5,40,46.25,48.75,54.2
01 01 1988,80,73.75,56.25,62.5,66.25,36.6
01 02 1988,50,58.75,41.25,45,52.5,54.6
01 03 1988,75,73.75,56.25,61.25,68.75,55.8
01 04 1988,120,93.75,95,83.75,95,51.0
01 05 1988,77.5,66.25,60,60,65,57.7
01 06 1988,97.5,80,73.75,76.25,86.25,60.4
01 07 1988,43.75,40,53.75,40,48.75,61.0
01 08 1988,25,32.5,27.5,32.5,31.25,42.6
01 09 1988,25,22.5,20,27.5,41.25,50.6
01 10 1988,30,25,23.75,33.75,33.75,62.5
01 11 1988,62.5,43.75,50,46.25,57.5,65.3
01 12 1988,81.25,58.75,67.5,72.5,70,71.9
01 01 1989,88.75,68.75,71.25,80,76.25,69.9
01 02 1989,107.5,81.25,97.5,103.75,95,72.8
01 03 1989,100,68.75,88.75,86.25,97.5,59.9
01 04 1989,91.25,62.5,72.5,82.5,81.25,66.6
01 05 1989,91.25,62.5,70,76.25,77.5,58.4
01 06 1989,92.5,58.75,68.75,77.5,78.75,75.3
01 07 1989,82.5,67.5,65,77.5,76.25,62.4
01 08 1989,101.25,76.25,83.75,87.5,95,66.6
01 09 1989,81.25,57.5,62.5,73.75,80,57.4
01 10 1989,96.25,73.75,75,88.75,97.5,63.1
01 11 1989,95,67.5,68.75,88.75,87.5,61.2
01 12 1989,103.75,78.75,82.5,95,97.5,92.8
01 01 1990,110,80,86.25,97.5,102.5,89.7
01 02 1990,112.5,87.5,88.75,97.5,100,94.6
01 03 1990,126.25,97.5,87.5,116.25,110,69.3
01 04 1990,63.75,46.25,42.5,65,58.75,68.8
01 05 1990,121.25,98.75,92.5,113.75,115,82.3
01 06 1990,83.75,63.75,62.5,76.25,80,90.8
01 07 1990,57.5,45,45,55,53.75,97.7
01 08 1990,91.25,66.25,66.25,78.75,86.25,95.7
01 09 1990,103.75,78.75,75,93.75,92.5,106.6
01 10 1990,93.75,76.25,67.5,85,88.75,79.8
01 11 1990,107.5,83.75,73.75,86.25,93.75,79.1
01 12 1990,108.75,83.75,78.75,97.5,101.25,78.4
01 01 1991,120,103.75,96.25,110,112.5,77.6
01 02 1991,100,78.75,76.25,87.5,93.75,90.9
01 03 1991,120,96.25,88.75,105,108.75,75.9
01 04 1991,112.5,85,81.25,93.75,100,104.0
01 05 1991,82.5,67.5,66.25,75,72.5,113.9
01 06 1991,68.75,61.25,50,63.75,67.5,113.4
01 07 1991,62.5,48.75,40,58.75,53.75,123.7
01 08 1991,125,105,97.5,115,117.5,123.2
01 09 1991,128.75,105,97.5,116.25,115,118.2
01 10 1991,133.75,103.75,103.75,121.25,118.75,81.4
01 11 1991,93.75,77.5,68.75,85,83.75,130.5
01 12 1991,125,98.75,101.25,113.75,112.5,85.8
01 01 1992,122.5,100,88.75,100,101.25,122.2
01 02 1992,137.5,112.5,113.75,123.75,131.25,130.9
01 03 1992,118.75,96.25,92.5,111.25,108.75,135.0
01 04 1992,147.5,116.25,113.75,123.75,127.5,97.6
01 05 1992,65,51.25,50,56.25,61.25,98.8
01 06 1992,60,41.25,42.5,55,48.75,140.0
01 07 1992,52.5,40,42.5,48.75,52.5,121.4
01 08 1992,65,52.5,42.5,50,61.25,99.8
01 09 1992,76.25,60,56.25,70,76.25,106.2
01 10 1992,116.25,87.5,91.25,87.5,101.25,128.4
01 11 1992,130,110,103.75,101.25,116.25,127.2
01 12 1992,128.75,98.75,97.5,98.75,111.25,134.0
01 01 1993,101.25,83.75,77.5,75,90,100.3
01 02 1993,117.5,93.75,92.5,92.5,103.75,137.0
01 03 1993,128.75,108.75,98.75,101.25,115,157.9
01 04 1993,130,96.25,106.25,103.75,112.5,112.0
01 05 1993,57.5,50,43.75,53.75,55,158.5
01 06 1993,111.25,95,87.5,96.25,108.75,145.9
01 07 1993,122.5,100,98.75,100,112.5,156.1
01 08 1993,130,105,101.25,106.25,117.5,128.5
01 09 1993,142.5,118.75,110,116.25,122.5,147.5
01 10 1993,138.75,107.5,116.25,141.25,127.5,134.1
01 11 1993,136.25,120,105,106.25,120,156.5
01 12 1993,132.5,108.75,103.75,100,115,161.1
01 01 1994,130,107.5,103.75,100,116.25,165.8
01 02 1994,96.25,83.75,80,75,93.75,114.7
01 03 1994,93.33333333,80,78.75,75,88.75,175.3
01 04 1994,146.6666667,122.5,113.75,110,130,132.7
01 05 1994,81.66666667,62.5,62.5,72.5,78.75,118.0
01 06 1994,93.33333333,71.25,75,73.75,83.75,167.4
01 07 1994,120,97.5,100,100,111.25,182.0
01 08 1994,105,85,87.5,86.25,93.75,121.4
01 09 1994,111.6666667,87.5,96.25,83.75,95,139.0
01 10 1994,86.66666667,70,75,71.25,78.75,147.0
01 11 1994,116.6666667,98.75,92.5,87.5,101.25,128.1
01 12 1994,135,108.75,106.25,107.5,115,183.6
01 01 1995,70,52.5,58.75,60,58.75,178.4
01 02 1995,110,86.25,90,91.25,95,166.1
01 03 1995,141.6666667,112.5,106.25,107.5,116.25,160.5
01 04 1995,58.33333333,48.75,52.5,51.25,55,172.5
01 05 1995,78.33333333,60,58.75,61.25,66.25,152.7
01 06 1995,98.33333333,75,110,73.33333333,83.75,136.0
01 07 1995,115,91.25,88.75,100,123.75,162.5
01 08 1995,83.33333333,76.25,66.25,75,73.75,142.0
01 09 1995,141.6666667,125,106.25,113.75,116.25,194.5
01 10 1995,140,121.25,121.25,111.25,115,155.4
01 11 1995,110,95,98.75,95,90,194.0
01 12 1995,125,101.25,111.25,102.5,101.25,135.4
01 01 1996,90,51.25,101.25,61.25,68.75,140.2
01 02 1996,60,43.75,66.25,40,53.75,168.1
01 03 1996,106.6666667,98.75,92.5,87.5,95,184.8
01 04 1996,86.66666667,77.5,91.25,83.75,82.5,170.7
01 05 1996,141.6666667,127.5,118.75,130,126.25,156.4
01 06 1996,116.6666667,105,102.5,102.5,98.75,149.7
01 07 1996,158.3333333,132.5,136.25,123.75,125,198.5
01 08 1996,108.3333333,92.5,95,96.25,90,216.0
01 09 1996,83.33333333,77.5,81.25,91.25,81.25,185.4
01 10 1996,121.6666667,116.25,100,108.75,108.75,198.9
01 11 1996,135,112.5,112.5,108.75,106.25,151.3
01 12 1996,90,73.75,81.25,80,73.75,201.9
01 01 1997,150,125,138.75,135,128.75,166.0
01 02 1997,150,132.5,135,140,132.5,192.3
01 03 1997,106.6666667,85,111.25,90,98.75,176.8
01 04 1997,80,65,113.75,63.75,71.25,207.8
01 05 1997,63.33333333,50,70,55,50,213.5
01 06 1997,101.6666667,83.75,125,92.5,91.25,184.9
01 07 1997,88.33333333,70,121.25,77.5,76.25,229.5
01 08 1997,65,35,101.25,43.75,52.5,248.5
01 09 1997,71.66666667,41.25,110,66.25,52.5,250.2
01 10 1997,133.3333333,103.75,140,115,111.25,251.9
01 11 1997,133.3333333,111.25,132.5,116.25,112.5,182.5
01 12 1997,116.6666667,95,107.5,97.5,90,165.8
01 01 1998,86.66666667,77.5,93.75,90,87.5,162.4
01 02 1998,141.6666667,122.5,133.75,133.75,128.75,213.4
01 03 1998,168.3333333,146.25,160,152.5,143.75,169.1
01 04 1998,121.6666667,106.25,110,115,107.5,216.2
01 05 1998,161.6666667,136.25,151.25,148.75,141.25,268.5
01 06 1998,73.33333333,65,62.5,52.5,52.5,256.3
01 07 1998,101.6666667,75,120,70,77.5,243.9
01 08 1998,35,10,88.75,17.5,25,217.1
01 09 1998,18.33333333,16.25,50,16.25,25,190.0
01 10 1998,11.66666667,11.25,5,11.25,22.5,186.4
